Scan number,Dim 0 (vertical),Dim 1 (horizontal),Detector horiz (x is positive left) in mm,Detector vertical (y is positive up) in mm,Detector trans x (mm),Detector trans y (mm),Detector trans x (px),Detector trans y (px),Beam centre horiz in px,Beam centre vertical in px,Pixel size in mm
110607,0,0,637,-49.002,-120.001,0,-697.680232558139,0,48.3197674418606,692.81,0.172
110607,0,1,757.001,-49.002,0,0,0,0,746,692.81,
110607,0,2,877,-49.002,119.999,0,697.668604651163,0,1443.66860465116,692.81,
110607,1,0,637.001,0.9975,-120,49.9995,-697.674418604651,290.694767441861,48.3255813953488,402.115232558139,
110607,1,1,757,0.997,-0.000999999999976353,49.999,-0.00581395348823461,290.691860465116,745.994186046512,402.118139534884,
110607,1,2,876.999,0.997,119.998,49.999,697.662790697675,290.691860465116,1443.66279069767,402.118139534884,
110607,2,0,637,50.9975,-120.001,99.9995,-697.680232558139,581.392441860465,48.3197674418606,111.417558139535,
110607,2,1,757,50.9975,-0.000999999999976353,99.9995,-0.00581395348823461,581.392441860465,745.994186046512,111.417558139535,
110607,2,2,876.999,50.9975,119.998,99.9995,697.662790697675,581.392441860465,1443.66279069767,111.417558139535,
